genes	logFC	FDR	fact	stage	dnds	avr_exp	avr_exp_f	avr_exp_m
TCM_00302	-0.01040438	0.996586107	Not DE	hatch	NA	3.28584476	3.659758769	3.737571346
TCM_00303	0.0652838	0.956528922	Not DE	hatch	NA	55.18090193	58.01456203	56.5833966
TCM_00304	-0.128436125	0.954924802	Not DE	hatch	0.2023	114.8878057	172.4887462	197.6379118
TCM_00305	-0.131526419	0.922562424	Not DE	hatch	0.7677	10.56057036	3.903720326	4.393063288
TCM_00306	0.273895997	0.845784144	Not DE	hatch	0.001	4.013475116	4.020267468	3.377349251
TCM_00307	-0.295583414	0.804896936	Not DE	hatch	0.3983	5.062480194	5.559290816	6.834249837
TCM_00308	0.015733753	0.994169171	Not DE	hatch	NA	26.14246389	23.38255736	23.10460648
TCM_00309	-0.37136815	0.897237823	Not DE	hatch	0.0563	10.36921282	0.844964242	1.087877197
TCM_00311	0.10320141	0.927593516	Not DE	hatch	0.065	47.70576315	71.22791463	67.36399201
TCM_00312	-0.091378218	0.937281731	Not DE	hatch	0.0582	20.44178667	20.56678318	22.26562491
TCM_00313	0.183780088	0.874871903	Not DE	hatch	NA	7.017481638	8.103802738	7.434639529
TCM_00314	0.361087827	0.737491524	Not DE	hatch	0.3118	97.42577485	144.099263	115.7893877
TCM_00315	-0.048535702	0.978897316	Not DE	hatch	0.1862	5.494121013	5.95330488	6.45393838
TCM_00316	0.26123019	0.780213115	Not DE	hatch	0.1797	738.7928139	928.0836084	785.0201695
TCM_00317	-0.030417738	0.989952099	Not DE	hatch	0.2799	86.17056227	93.31871224	97.22781651
TCM_00318	0.206893027	0.810745643	Not DE	hatch	0.0668	29.55546644	28.09608101	24.6030956
TCM_00319	0.008307863	0.996501828	Not DE	hatch	0.1199	19.35099167	17.6809166	18.10379172
TCM_00320	-0.252458573	0.925936767	Not DE	hatch	NA	15.30507419	7.177978267	9.121565171
TCM_00321	0.054994431	0.980249164	Not DE	hatch	NA	19.81411821	38.56200838	36.95241829
TCM_00322	-0.11531838	0.937521937	Not DE	hatch	NA	8.353972182	10.83231253	12.08632701
TCM_00323	0.33888416	0.73173484	Not DE	hatch	0.001	65.51711354	107.6139725	87.77384415
TCM_00324	0.346085257	0.750108602	Not DE	hatch	0.1621	195.5812755	166.4206985	134.1456686
TCM_00326	-0.339125719	0.75711316	Not DE	hatch	0.0395	8.18951869	10.05534401	12.86582331
TCM_00327	0.27057349	0.72809493	Not DE	hatch	0.1048	85.23475725	95.98910559	81.22580636
TCM_00328	0.088902843	0.961516073	Not DE	hatch	NA	1.059969452	1.115102943	1.056597741
TCM_00329	-0.024323432	0.994767418	Not DE	hatch	NA	2.51965765	2.345528906	2.413101713
TCM_00330	-0.687384246	0.669461344	Not DE	hatch	NA	10.95189098	14.39553484	23.28232419
TCM_00331	1.45851029	0.102911112	Not DE	hatch	0.0299	7.972459641	9.518373971	3.499539775
TCM_00332	-0.40777569	0.913254546	Not DE	hatch	NA	0.492333958	0.38269596	0.515913768
TCM_00333	0.05445907	0.975464171	Not DE	hatch	0.0743	8.1170136	10.82859053	10.559852
TCM_00334	-0.477750771	0.786011497	Not DE	hatch	NA	9.513801584	5.159927838	7.518836231
TCM_00335	0.236625917	0.950319955	Not DE	hatch	NA	1.49927311	2.790257851	2.477356065
TCM_00336	-0.159506299	0.914092773	Not DE	hatch	NA	169.2826234	315.4914768	361.4487082
TCM_00337	-0.01911093	0.991659084	Not DE	hatch	NA	181.1591237	313.1362549	326.1710971
TCM_00338	0.217432171	0.828607438	Not DE	hatch	NA	107.2193794	146.2129945	128.5264198
TCM_00339	-0.301458897	0.753217537	Not DE	hatch	0.099	8.817790038	8.741263361	11.01483679
TCM_00340	0.120322134	0.949000326	Not DE	hatch	0.001	18.49154449	14.81287413	13.64323829
TCM_00341	1.232718934	0.754056769	Not DE	hatch	0.6547	5.767464327	12.09082446	4.994975565
TCM_00342	-0.167225337	0.924924237	Not DE	hatch	0.1186	9.838391968	13.41481811	15.19922096
TCM_00343	-0.138586345	0.864751011	Not DE	hatch	0.1396	35.15333603	44.33768619	50.39070858
TCM_00344	0.28490614	0.881385641	Not DE	hatch	0.5754	1.711138407	2.618923939	2.219789668
TCM_00348	0.412251321	0.659068561	Not DE	hatch	0.2208	65.58600133	66.05952309	51.16097286
TCM_00349	0.019204221	0.994169171	Not DE	hatch	0.1514	76.47036504	79.57842523	79.55528304
TCM_00350	0.080501405	0.941043411	Not DE	hatch	NA	36.22503818	39.82471622	38.48474714
TCM_00351	0.191450773	0.892619356	Not DE	hatch	0.2801	40.08872219	39.86675851	35.96206299
TCM_00352	0.452411967	0.713564941	Not DE	hatch	0.2708	12.21079416	13.7452805	10.11757974
TCM_00353	0.102230498	0.950319955	Not DE	hatch	0.2051	24.13450234	14.52608187	13.78629714
TCM_00354	0.570950519	0.546976688	Not DE	hatch	0.142	32.70371796	41.79290146	28.51858967
TCM_00355	-0.188753459	0.824950823	Not DE	hatch	0.165	51.22564179	41.61630829	48.52903254
TCM_00356	-0.191228838	0.897937314	Not DE	hatch	0.1259	258.785513	275.6657003	330.5205752
TCM_00357	-0.014983264	0.995052869	Not DE	hatch	0.0482	124.5983529	123.493067	125.8525495
TCM_00358	-0.015460656	0.995052869	Not DE	hatch	NA	179.5734267	217.2052036	227.2178163
TCM_00359	0.28819153	0.807333205	Not DE	hatch	NA	7.678553686	9.24694225	7.688849413
TCM_00360	0.380337197	0.807467517	Not DE	hatch	0.2671	7.388506738	8.50541475	6.621388915
TCM_00361	0.241517705	0.892619356	Not DE	hatch	0.2812	14.37650762	8.868699728	7.397753358
TCM_00362	0.018628648	0.993310501	Not DE	hatch	0.1611	8.163974917	11.80865374	12.10288056
TCM_00363	0.574044267	0.741760419	Not DE	hatch	0.1458	17.15015086	39.99702613	27.68647041
TCM_00364	0.45484624	0.685800009	Not DE	hatch	0.1423	123.3463469	162.8025588	121.746395
TCM_00365	-0.195172896	0.793438273	Not DE	hatch	0.001	25.69025334	32.8142409	38.05717101
TCM_00366	-0.012780308	0.995052869	Not DE	hatch	0.6526	26.8173074	15.76320556	16.47556321
TCM_00367	-0.001354904	0.998989344	Not DE	hatch	0.0342	90.84691652	67.49681711	69.25374555
TCM_00368	0.201171737	0.846635453	Not DE	hatch	0.2441	220.853579	209.4112668	186.6681835
TCM_00369	0.088361169	0.950955578	Not DE	hatch	0.0464	41.39785251	36.79217053	35.40808915
TCM_00370	0.223805163	0.799424505	Not DE	hatch	0.001	108.7533264	116.9057228	103.3231302
TCM_00371	0.184136218	0.821937135	Not DE	hatch	0.6669	1347.086628	1689.49528	1514.511847
TCM_00372	0.072021187	0.947272021	Not DE	hatch	NA	99.77068274	139.8792653	136.696493
TCM_00373	-0.261740435	0.864628053	Not DE	hatch	NA	411.8503992	613.3916483	750.7082031
TCM_00374	-0.097265391	0.969714181	Not DE	hatch	NA	5.020007566	6.5278825	7.092543198
TCM_00375	-0.312764848	0.878357143	Not DE	hatch	NA	192.0781414	188.9741944	238.1264153
TCM_00376	-0.395545455	0.845488684	Not DE	hatch	NA	40.72805455	29.28122707	39.01238358
TCM_00377	-0.211712931	0.840250029	Not DE	hatch	NA	88.24563901	39.62698265	46.36851036
TCM_00378	-0.501806016	0.753217537	Not DE	hatch	0.1832	17.68535366	6.034764491	8.64278349
TCM_00379	-0.514494381	0.778821442	Not DE	hatch	NA	8.644215646	4.387021849	6.384554461
TCM_00380	0.080176813	0.929800565	Not DE	hatch	0.4262	27.43272214	40.49216778	39.30270136
TCM_00381	-0.118672079	0.883578396	Not DE	hatch	0.0574	67.36527031	63.64682659	71.44260247
TCM_00383	0.022045498	0.98889918	Not DE	hatch	NA	183.6741565	204.4630849	206.0932003
TCM_00384	0.44674438	0.678222335	Not DE	hatch	NA	5.968309728	6.587241185	4.923453435
TCM_00385	0.20220815	0.876582892	Not DE	hatch	0.001	29.83157691	38.87833732	34.89584333
TCM_00386	0.903678832	0.640034592	Not DE	hatch	99	2.506042128	3.236823608	1.770351571
TCM_00387	-0.210501341	0.846633539	Not DE	hatch	0.0826	80.51225783	44.85804465	53.2354219
TCM_00388	-0.402662504	0.897803595	Not DE	hatch	0.5901	2.38050805	0.933415474	1.228435198
TCM_00389	-0.107616828	0.927593516	Not DE	hatch	0.0862	15.995747	19.24951386	21.06564547
TCM_00390	-0.040119662	0.968805564	Not DE	hatch	0.0556	59.3733406	58.41480811	61.02918779
TCM_00391	-0.12714097	0.950319955	Not DE	hatch	NA	1.409109312	2.111618405	2.344663822
TCM_00392	0.277112529	0.793730678	Not DE	hatch	0.2028	64.74363516	105.7090287	89.33388469
TCM_00393	0.082945216	0.941865162	Not DE	hatch	0.2332	57.63459698	64.29876535	62.54439982
TCM_00394	0.160598792	0.854381771	Not DE	hatch	0.0461	27.88474286	43.14362586	39.73593164
TCM_00395	-0.350444055	0.7588732	Not DE	hatch	0.0888	33.9537822	35.30126415	45.27419044
TCM_00396	0.424980906	0.805558624	Not DE	hatch	0.1383	4.257759829	3.368983105	2.481521993
TCM_00397	-0.03935191	0.986460263	Not DE	hatch	NA	341.2938025	428.8452684	463.6548352
TCM_00398	-0.134914848	0.881397622	Not DE	hatch	0.2208	175.2684962	219.3596785	246.0708072
TCM_00399	0.129924112	0.876582892	Not DE	hatch	NA	38.5859124	44.34194493	41.03917663
TCM_00401	-0.200844867	0.913270339	Not DE	hatch	NA	46.34884345	19.86599982	23.50043532
TCM_00402	-0.071152075	0.972505564	Not DE	hatch	NA	4.310455975	1.816203996	1.96927849
TCM_00403	-0.33530253	0.879702639	Not DE	hatch	NA	1.819657864	2.952446493	3.983249809
TCM_00404	-0.05877359	0.982603224	Not DE	hatch	NA	9.298848188	3.876250042	4.155975048
TCM_00405	0.14887902	0.974091237	Not DE	hatch	0.0924	0.582038556	0.775712864	0.743591623
TCM_00407	-0.585563176	0.733795837	Not DE	hatch	0.0263	2.264252592	3.124172887	4.957116178
TCM_00408	0.155524424	0.92194243	Not DE	hatch	0.0426	6899.989178	6967.583151	6495.05465
TCM_00410	0.037505913	0.993014497	Not DE	hatch	0.6101	6.646191846	3.356697669	3.193886717
TCM_00411	0.41295692	0.713564941	Not DE	hatch	0.0832	28.9619467	26.41199791	20.11487361
TCM_00412	-0.05073174	0.963805696	Not DE	hatch	0.001	122.0369916	114.3940513	121.7607254
TCM_00413	-0.236066086	0.877455638	Not DE	hatch	NA	1075.567589	1254.717082	1512.430394
TCM_00414	-1.250167279	0.368005826	Not DE	hatch	0.111	16.1619713	6.310667786	15.36821577
TCM_00415	-1.198973239	0.524875547	Not DE	hatch	NA	10.16394507	4.41235234	10.36822108
TCM_00416	-0.979859272	0.602902443	Not DE	hatch	0.0757	121.7953508	34.91825783	70.24911495
TCM_00417	0.227099676	0.840250029	Not DE	hatch	0.067	127.4871462	168.9191154	147.2788396
TCM_00418	0.048775662	0.968794099	Not DE	hatch	0.1959	25.85891553	14.76555788	14.45098516
TCM_00419	0.309081095	0.809901203	Not DE	hatch	0.0427	117.1562777	160.5261965	131.93165
TCM_00420	0.045786729	0.977848286	Not DE	hatch	0.001	886.2067286	1011.568915	1012.507959
TCM_00421	0.068112582	0.971096996	Not DE	hatch	NA	3.296230875	4.290900479	4.279648407
TCM_00422	0.081258268	0.932697754	Not DE	hatch	NA	45.26753029	52.11512543	50.5312933
TCM_00423	-0.179556115	0.892009763	Not DE	hatch	0.3063	1.900197286	1.891584693	2.209016106
TCM_00424	-0.207118763	0.862958713	Not DE	hatch	0.1302	51.28016769	75.09869045	86.61068757
TCM_00425	0.280850896	0.782222409	Not DE	hatch	NA	73.83397762	120.5483454	100.3797969
TCM_00426	-0.196441459	0.854381771	Not DE	hatch	0.0278	46.25051532	35.32124506	41.02234015
TCM_00427	0.146433836	0.908523591	Not DE	hatch	NA	4.959663331	5.234132233	4.851257073
TCM_00428	-0.123628921	0.958649396	Not DE	hatch	NA	1.036651875	1.022429355	1.13975802
TCM_00429	-0.001599376	0.998989344	Not DE	hatch	NA	1.552276352	1.833775108	1.857177377
TCM_00430	0.14097061	0.893011435	Not DE	hatch	0.001	364.3158636	379.9769099	349.2797131
TCM_00431	-0.228963072	0.793204825	Not DE	hatch	0.0203	10.08599617	15.67724638	18.75588341
TCM_00432	0.097669457	0.963805696	Not DE	hatch	NA	4.870333081	6.797604609	6.540252521
TCM_00433	-0.091441175	0.966866806	Not DE	hatch	NA	7.422808824	12.22241206	13.33614508
TCM_00434	0.026663946	0.993928216	Not DE	hatch	NA	58.01813228	121.6333339	119.933721
TCM_00435	-0.013073063	0.996586107	Not DE	hatch	NA	74.46172498	103.7537289	107.3621465
TCM_00436	0.306320311	0.848313775	Not DE	hatch	NA	11.87618715	16.42219439	13.29448823
TCM_00437	-0.159729515	0.884598073	Not DE	hatch	0.1344	58.8765757	98.00907519	112.0578233
TCM_00438	0.24975413	0.816119508	Not DE	hatch	NA	11.74666205	15.6770662	13.43938029
TCM_00439	0.243210764	0.811391571	Not DE	hatch	0.0668	3.951842352	5.227543203	4.458263441
TCM_00440	-0.17062971	0.87368225	Not DE	hatch	NA	4.250845074	5.416724559	6.310006142
TCM_00441	-0.146560865	0.913270339	Not DE	hatch	0.001	11.08538096	11.92998578	13.71389374
TCM_00442	0.047273926	0.976823042	Not DE	hatch	NA	7.487104679	4.756790366	4.658737804
TCM_00443	-0.09693326	0.95665582	Not DE	hatch	NA	7.855854204	5.305655207	5.743003327
TCM_00444	-0.189013676	0.876683918	Not DE	hatch	0.0282	16.29756079	17.02742973	19.93624128
TCM_00445	-0.176501685	0.892678245	Not DE	hatch	0.0724	26.8828548	44.67127802	51.64845745
TCM_00446	0.092237451	0.941865162	Not DE	hatch	NA	59.03801352	88.50118532	84.23319803
TCM_00447	0.247782161	0.742493739	Not DE	hatch	NA	58.15577699	55.38968401	47.44758385
TCM_00448	-0.433901062	0.659068561	Not DE	hatch	NA	7.714240233	10.55903812	14.5311462
TCM_00449	-0.140223272	0.922562424	Not DE	hatch	0.001	14.86752042	14.32551036	16.03413658
TCM_00450	0.16522402	0.850747289	Not DE	hatch	0.0977	38.92953022	66.69652721	60.50003227
TCM_00451	-0.05616604	0.966926887	Not DE	hatch	0.0911	58.96645396	61.77348588	66.39392921
TCM_00453	-0.394542734	0.753217537	Not DE	hatch	0.2368	12.55456262	14.6138362	19.31971909
TCM_00454	-0.247329517	0.773597367	Not DE	hatch	0.1121	262.9818425	257.4107424	312.7539597
TCM_00455	0.367619765	0.665440658	Not DE	hatch	0.4185	69.22854698	55.66025116	44.28435216
TCM_00456	0.307123617	0.778821442	Not DE	hatch	NA	58.74399206	80.972593	66.21031531
TCM_00458	0.406504412	0.665440658	Not DE	hatch	0.1226	13.41210192	16.96582015	13.17142686
TCM_00459	-0.29495653	0.778821442	Not DE	hatch	0.5261	50.93413628	64.66755473	80.18161511
TCM_00460	0.200953637	0.875000593	Not DE	hatch	NA	24.04911691	48.36818261	42.62927469
TCM_00462	-0.119168193	0.972287948	Not DE	hatch	NA	32.98845083	49.858543	57.2463444
TCM_00463	-0.343361269	0.768374773	Not DE	hatch	0.1951	3.802334733	4.42288348	5.706103894
TCM_00464	0.497947495	0.814482891	Not DE	hatch	NA	101.7239004	152.9270085	111.3440004
TCM_00465	0.338696138	0.753217537	Not DE	hatch	NA	51.33179004	73.8960019	59.9729628
TCM_00466	0.533718567	0.721557566	Not DE	hatch	NA	305.1708164	498.4983816	354.5341065
TCM_00467	0.442265806	0.707984048	Not DE	hatch	NA	43.38539508	42.42482349	31.91900233
TCM_00468	-0.110444278	0.923610611	Not DE	hatch	0.001	824.3919447	752.6172108	839.9962685
TCM_00469	-0.369843197	0.762597062	Not DE	hatch	NA	150.7011865	142.1693546	191.5851055
TCM_00470	0.14042992	0.95665582	Not DE	hatch	0.2591	6.734964137	4.74231504	4.495350014
TCM_00471	-0.133829556	0.884439809	Not DE	hatch	0.1138	216.0102332	263.3716948	296.826503
TCM_00472	-0.152822447	0.927606347	Not DE	hatch	0.001	15.05345987	13.81349209	15.99183754
TCM_00473	-0.26558168	0.785178341	Not DE	hatch	NA	19.58243816	18.35197617	22.70288281
TCM_00474	0.001485932	0.998989344	Not DE	hatch	0.1327	15.55983048	17.05343319	17.32458359
TCM_00475	-0.142056785	0.889578892	Not DE	hatch	NA	25.99111862	26.48249708	29.36565351
TCM_00476	-0.133646081	0.915871138	Not DE	hatch	NA	47.57159686	45.85694809	50.07354777
TCM_00477	0.045082308	0.970663125	Not DE	hatch	0.0728	31.0564751	33.54563735	33.84957403
TCM_00478	-0.293605747	0.793204825	Not DE	hatch	0.2629	78.12397898	116.0410495	141.6996745
TCM_00479	0.012342086	0.995052869	Not DE	hatch	0.0172	94.66758881	127.3651597	128.9926247
TCM_00480	0.315167568	0.752869456	Not DE	hatch	0.1562	122.7574803	142.8693236	118.5478697
TCM_00481	-0.031288626	0.98577409	Not DE	hatch	0.0583	23.9766033	24.88704858	25.93693629
TCM_00482	-0.285517627	0.786011497	Not DE	hatch	0.2082	47.26181815	58.68203169	72.29550709
TCM_00484	-0.535178321	0.778821442	Not DE	hatch	0.0691	0.448063357	0.562727723	0.82466476
TCM_00485	-0.543290699	0.713564941	Not DE	hatch	NA	5.374636238	8.8292864	13.27440059
TCM_00486	-0.600426556	0.753217537	Not DE	hatch	NA	1.241490049	1.891672805	3.006960307
TCM_00487	-0.216513923	0.876582892	Not DE	hatch	NA	19.7506284	26.84944012	32.22642388
TCM_00488	0.05234937	0.98375485	Not DE	hatch	NA	1.044395476	1.400930103	1.389068573
TCM_00490	-0.096170018	0.964094186	Not DE	hatch	NA	0.754520791	0.954880732	1.045131721
TCM_00491	-0.242285603	0.810777346	Not DE	hatch	0.0388	7.19156788	10.64134577	12.74030278
TCM_00492	0.057452358	0.960046062	Not DE	hatch	0.001	22.9283813	22.86463652	22.49151193
TCM_00493	-0.183981055	0.878357143	Not DE	hatch	0.1719	4.057042552	6.792513278	7.913738624
TCM_00494	-0.408696902	0.737102577	Not DE	hatch	0.0207	14.11261764	23.20341419	31.73477686
TCM_00495	-0.886552757	0.659068561	Not DE	hatch	0.0722	1.182108337	1.925408503	3.673476293
TCM_00496	-0.575740764	0.807333205	Not DE	hatch	0.0981	0.389407745	0.646365681	0.944657235
TCM_00497	-0.046590283	0.960228527	Not DE	hatch	0.1255	255.5325966	317.749354	336.5237979
TCM_00498	0.27504105	0.849048945	Not DE	hatch	0.0261	188.7612892	251.2294679	214.0823447
TCM_00499	0.551510782	0.591026869	Not DE	hatch	0.1955	29.24278235	32.93618304	22.96420167
TCM_00500	0.403233546	0.665440658	Not DE	hatch	0.3179	8.227128306	11.25443414	8.606629702
TCM_00501	0.230415636	0.821602878	Not DE	hatch	0.2341	9.723163382	12.23300581	10.76399931
TCM_00502	0.343885537	0.706518144	Not DE	hatch	0.195	24.56409356	22.88011673	18.55334297
TCM_00503	-0.244242064	0.833537151	Not DE	hatch	0.1848	13.0725872	10.58019715	12.64831164
TCM_00504	-0.028599163	0.987594935	Not DE	hatch	0.0296	1643.622277	1086.970023	1142.077488
TCM_00505	-0.309212232	0.713484274	Not DE	hatch	0.0453	116.7875793	102.5909896	130.7582682
TCM_00506	-0.164125789	0.889186483	Not DE	hatch	0.0862	82.39541754	109.059728	126.4164873
TCM_00509	-0.261126229	0.758902373	Not DE	hatch	NA	30.09356397	39.99002612	48.68181149
TCM_00510	-0.146015316	0.893011435	Not DE	hatch	0.0556	34.79361356	25.78651599	29.66094908
TCM_00511	0.077707526	0.958649396	Not DE	hatch	0.3022	39.19377273	36.79446911	36.32688547
TCM_00512	-0.72141211	0.62938535	Not DE	hatch	NA	4.832366212	4.341998193	7.209577574
TCM_00513	-0.359412377	0.768856185	Not DE	hatch	0.0942	66.35802411	68.38267455	88.38612639
TCM_00514	0.268627557	0.810923969	Not DE	hatch	0.2948	601.032002	789.8175243	673.2842346
TCM_00515	0.193798289	0.817113127	Not DE	hatch	NA	447.712993	409.8098264	365.9660825
TCM_00516	0.246164538	0.785178341	Not DE	hatch	0.0711	22.54356089	16.68425903	14.45368443
TCM_00517	0.05364601	0.977848286	Not DE	hatch	0.286	28.95653613	28.04046849	27.44916524
TCM_00518	0.081753948	0.950319955	Not DE	hatch	0.4479	31.75469428	42.01391523	40.20572183
TCM_00519	0.04171055	0.987223219	Not DE	hatch	0.2258	62.24233486	51.41957243	50.23622597
TCM_00520	-0.4729662	0.659068561	Not DE	hatch	0.001	6.293801027	8.385815086	11.82838847
TCM_00521	-0.82082318	0.694624903	Not DE	hatch	0.1848	1.73159879	1.613615407	2.79303075
TCM_00522	-0.140045665	0.889578892	Not DE	hatch	0.1981	21.25167853	19.06131371	21.41258927
TCM_00523	-0.206017536	0.835575154	Not DE	hatch	0.2498	13.47383885	11.21020031	13.04357602
TCM_00524	-0.053590598	0.963805696	Not DE	hatch	0.001	48.11497831	67.44457633	70.98715189
TCM_00525	-0.239158144	0.851368103	Not DE	hatch	0.2959	138.7633695	182.7070869	214.9534116
TCM_00526	-0.375782375	0.73173484	Not DE	hatch	0.001	31.99063775	38.89195721	51.91073707
TCM_00527	0.108346114	0.944882392	Not DE	hatch	0.27	27.40182655	23.3588452	22.18667019
TCM_00528	0.167667007	0.828278024	Not DE	hatch	0.0835	91.91935347	113.3736523	104.169796
TCM_00529	-0.249280878	0.896382834	Not DE	hatch	0.001	5.509626762	3.916450873	4.733192638
TCM_00530	-0.110055037	0.968805564	Not DE	hatch	NA	1.787988004	2.105482725	2.200303936
TCM_00531	-0.506569902	0.753217537	Not DE	hatch	NA	2.055499288	1.779669336	2.57160945
TCM_00532	-0.129433145	0.903589433	Not DE	hatch	NA	35.44082596	35.90770873	39.42708983
TCM_00533	-0.399341608	0.713564941	Not DE	hatch	NA	19.58579882	16.77497993	22.2011143
TCM_00534	0.243200712	0.881397622	Not DE	hatch	0.1548	41.23190618	63.63719532	54.18917804
TCM_00535	-0.156481949	0.927593516	Not DE	hatch	0.406	8.4172146	8.993320188	9.921258099
TCM_00536	0.102211024	0.913270339	Not DE	hatch	0.001	13.66321919	16.04902508	15.35199144
